Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2919802,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
2932431,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2939768,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
2942127,18FEC1EE,true,Rx,0,8,84,B7,EC,00,40,70,10,00,
2959835,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
2979749,0CF00417,true,Rx,0,8,FF,FF,FF,C5,12,FF,FF,FF,
2982383,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
2999707,0CF00417,true,Rx,0,8,FF,FF,FF,C5,12,FF,FF,FF,
3002359,18FEE6EE,true,Rx,0,8,D0,1F,14,07,58,27,7D,7A,
3019938,0CF00417,true,Rx,0,8,FF,FF,FF,C5,12,FF,FF,FF,
3032823,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3039716,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
3059699,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
3079936,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
3082458,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3099872,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
3119793,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
3132406,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3139654,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
3159685,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
3179748,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
3182377,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3199906,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
3219731,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
3232405,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3239715,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
3259865,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
3279777,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
3282624,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3299654,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
3319730,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
3332139,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3339819,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
3359846,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
3379870,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
3382227,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3399793,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
3419669,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
3432307,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3439932,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
3459906,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
3479728,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
3482092,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3499906,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
3519740,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
3534116,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3539667,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
3559741,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
3579734,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
3582100,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3599738,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
3619891,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
3633811,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3639798,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
3659813,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
3679690,1CDEEE17,true,Rx,0,8,FC,FF,FF,FF,FF,FF,FF,FF,
3680263,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
3680809,18FFA917,true,Rx,0,8,25,FF,FF,FF,FF,FF,FF,FF,
3682141,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3699720,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
3719906,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
3734651,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3739850,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
3759873,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
3779898,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
3782064,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3799802,0CF00417,true,Rx,0,8,FF,FF,FF,C5,12,FF,FF,FF,
3819977,0CF00417,true,Rx,0,8,FF,FF,FF,C5,12,FF,FF,FF,
3832056,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3839770,0CF00417,true,Rx,0,8,FF,FF,FF,C5,12,FF,FF,FF,
3859770,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
3879891,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
3881975,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3899831,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
3919727,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
3932073,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3939741,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
3942107,18FEC1EE,true,Rx,0,8,84,B7,EC,00,40,70,10,00,
3959738,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
3979808,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
3981940,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
3999711,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
4001964,18FEE6EE,true,Rx,0,8,D4,1F,14,07,58,27,7D,7A,
4019809,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
4031947,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
4039937,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
4059694,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
4079795,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
4081889,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
4099868,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
4119791,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
4131892,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
4139846,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
4160585,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
